"Company: Company Name","Notice Type","Notice: Notice Number","Closure or Layoff?","County","Date Received","NAICS","Notice URL","Number of Employees Affected","Projected Date","Trade","Type of Employees Affected","Workforce Board"
"Leggett & Platt, Inc.","WARN Notice","Notice 2687","Closure","Scott","9/16/2025","337215","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000GL1eD/2ODCtUzQn93Szd2x5sMDA4vYra.JHZJKDsfcCGc7r60","100","11/10/2025","No","Non-Union","Bluegrass"
"Martinrea Heavy Stamping","WARN Notice","Notice 2691","Layoff","Shelby","10/1/2025","336390","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000IGL4a/S8SjBZbNJWWHiiVnmQmrpL.J3DvxEiyBvDg2tWrGjhY","276","12/5/2025","","Both","Kentuckiana Works"
"HJI Supply Chain Solutions","WARN Notice","Notice 2692","Closure","Jefferson County - Louisville","10/2/2025","","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000H1neP/X_IPrubANhpX1DDSBme71wJ.lqfuHwJK.sJyAaPyWkU","117","12/31/2025","","Non-Union","Kentuckiana Works"
"Akebono Brake Corporation","WARN Notice","Notice 2693","Closure","Hardin","10/3/2025","336340","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000H4wZt/RH33QKwUV9N453vY30x.ruzli6KCxPRqXPzSCAA_A5I","450","12/31/2026","","Non-Union","Lincoln Trail"
"PARSONS CORPORATION","WARN Notice","Notice 2695","Closure","Madison","10/13/2025","541330","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000HPrDp/eamOO8kmQoCeKhQUbQE_8BvdrGadWnlNANN3HUKk8Gk","14","12/18/2025","TBD","Non-Union","Bluegrass"
"Bechtel Parsons Blue Grass","WARN Notice","Notice 2694","Closure","Madison","10/13/2025","","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000HPptZ/GnQ9cBWSHWfNXxHPCAj0lMJG9IEzqrpYRiqF8xjXhj8","14","12/18/2025","TBD","Non-Union","Bluegrass"
"Wayfair LLC - Erlanger Warehouse","WARN Notice","Notice 2699","Closure","Boone","10/15/2025","454390","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000HYXz3/HKQU9l9I4iDxyz0nhUBJY_.nyBxxJzEaCiXqpHplGB0","215","9/30/2026","","Non-Union","Northern Kentucky"
"Battelle Memorial Institute E3","WARN Notice","Notice 2700","Closure","Madison","10/16/2025","541715","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000HYWDQ/LXGMbijUgJpcB0Ijpf3tpwucoL6MpIfcMMRfEOM2bC4","1","10/30/2025","","Non-Union","Bluegrass"
"PARSONS CORPORATION","WARN Notice","Notice 2702","Closure","Madison","10/20/2025","541330","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000HhW7h/eXlRINsmaeSqoPbXVaJI2Rxf5Xqv5oVMiFrlFilMseg","15","1/8/2026","","Non-Union","Bluegrass"
"Comprehensive Logistics","WARN Notice","Notice 2703","Closure","Boone","10/20/2025","","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000Hhhr7/270VLiHSatvCB.99rQQ6yuWO_nnixhy7hk6zWHR_RIY","57","12/31/2025","","Non-Union","Northern Kentucky"
"CareAtHome Medical Practice (KY) P.S.C.","WARN Notice","Notice 2708","Closure","Fayette","10/22/2025","62","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000Hq2AP/Y0rpuv3LB3BixJyj16e1XIVvaE7OWP8OTrNM6seyM8Q","163","10/15/2025","","Non-Union","Bluegrass"
"ARaymond Tinnerman Manufacturing","WARN Notice","Notice 2709","Closure","Fleming","10/23/2025","336370","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000HqZW9/SNz2Jiy_E5.rfTX50xrRTYLWgnRfTiKdRtg2_AE2A1w","112","12/31/2026","","Union","TENCO"
"Fritz Winter North America LP","WARN Notice","Notice 2711","Closure","Simpson","10/24/2025","336390","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000Hy1ST/4bPnNw3hDRNbrK3RFoHfK4eAO1LyxwwWbtqKDLENS0U","230","3/31/2026","Yes","Non-Union","South Central"
"International Paper-Louisville","WARN Notice","Notice 2721","Closure","Jefferson County - Louisville","11/14/2025","322120","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000IqMLR/xracPZWam5EWSjo3EVvthTg6RKl2vJG7ckDW2_ByfIA","93","1/15/2026","","Both","Kentuckiana Works"
