date_notice,company,workforce_area,event_number,naics,action_type,affected,date_effective,reason,12/16/2020,"Neovia Logistics Services, LLC Southaven (DeSoto)",Delta,RR-MS- 2020-0013,333999 – All Other Miscellaneous General Purpose Machinery Manufacturing,Layoff,80,01/31/2021,WARN – Layoff - change in ownership. RR – provided by email due to COVID - 19,blank_entry,city,county,_int_raw_fields,_int_accuracy,_int_pdf_filename,_int_page,_int_table_number,_int_data_items
09/18/2020,P.F. Chang’s China Bistro Ridgeland (Madison),Southcentral MS Works,RR-MS- 2020-0008,722511 – Full-Service Restaurants,Layoff,75,03/29/2020,WARN – Due to COVID- 19 Closure will be temporary. RR – provided by email COVID-19,,,,,,,,,,,,,"['09/18/2020', 'P.F. Chang’s China \nBistro \nRidgeland (Madison)', 'Southcentral \nMS Works', 'RR-MS-\n2020-0008', '722511 – Full-Service \nRestaurants', 'Layoff', '75', '03/29/2020', 'WARN – Due to COVID-\n19 Closure will be \ntemporary. RR – provided \nby email \nCOVID-19']",100.0,warn-py2020-qtr-1-july-sep-2020.pdf,2,1,9
08/28/2020,Avis Budget Group Pearl (Rankin),Southcentral MS Works,RR-MS- 2020-0009,532111 – Passenger Car Rental,Layoff,3,06/01/2020,WARN – Due to COVID- 19 layoff will be permanent. RR – provided by email COVID-19,,,,,,,,,,,,,"['08/28/2020', 'Avis Budget Group \nPearl (Rankin)', 'Southcentral \nMS Works', 'RR-MS-\n2020-0009', '532111 – Passenger \nCar Rental', 'Layoff', '3', '06/01/2020', 'WARN – Due to COVID-\n19 layoff will be permanent. \nRR – provided by email \nCOVID-19']",100.0,warn-py2020-qtr-1-july-sep-2020.pdf,3,1,9
08/7/2020,Cooper Lighting Solutions Vicksburg (Warren),Southcentral MS Works,RR-MS- 2020-0010,332322 – Sheet Metal Work Manufacturing,Closure,300,10/15/2020,WARN – Due to COVID- 19 layoff will be permanent. RR – provided by email COVID-19,,,,,,,,,,,,,"['08/7/2020', 'Cooper Lighting \nSolutions  Vicksburg \n(Warren)', 'Southcentral \nMS Works', 'RR-MS-\n2020-0010', '332322 – Sheet Metal \nWork Manufacturing', 'Closure', '300', '10/15/2020', 'WARN – Due to COVID-\n19 layoff will be permanent. \nRR – provided by email \nCOVID-19']",100.0,warn-py2020-qtr-1-july-sep-2020.pdf,3,1,9
08/13/2020,Ulmer/Stride Rite Shoes Jackson (Hinds),Southcentral MS Works,RR-MS- 2020-0011,448210 – Shoe Stores,Closure,3,08/31/2020,NON-WARN – Due to shoe store is closing RR – provided by email,,,,,,,,,,,,,"['08/13/2020', 'Ulmer/Stride Rite \nShoes Jackson (Hinds)', 'Southcentral \nMS Works', 'RR-MS-\n2020-0011', '448210 – Shoe Stores', 'Closure', '3', '08/31/2020', 'NON-WARN – Due to \nshoe store is closing \nRR – provided by email']",100.0,warn-py2020-qtr-1-july-sep-2020.pdf,3,1,9
10/31/2020,Dynamic Aviation OSRG Base Kiln (Hancock),Twin District,RR-MS- 2020-0012,488190 – Other Support Activities for Air Transportation,Closure,3,12/31/2020,WARN - Closure will be permanent. RR – provided by email due to COVID-19,,,,,,,,,,,,,"['10/31/2020', 'Dynamic Aviation \nOSRG Base \nKiln (Hancock)', 'Twin \nDistrict', 'RR-MS-\n2020-0012', '488190 – Other \nSupport Activities \nfor Air \nTransportation', 'Closure', '3', '12/31/2020', 'WARN - Closure will be \npermanent. \nRR – provided by email due \nto COVID-19']",100.0,warn-py2020-qtr-2-oct-dec-2020.pdf,1,1,9
,,,,,,,,,12/18/2020,"Anderson Technologies South, LLC Batesville (Panola)",Delta,RR-MS- 2020-0014,325211 – Plastics Material and Resin Manufacturing,Layoff,20,12/18/2020,WARN – Layoff – COVID has caused a reduction in sales RR- provided by email due to COVID-19,,,,"['12/18/2020', 'Anderson \nTechnologies South, \nLLC \nBatesville (Panola)', 'Delta', 'RR-MS-\n2020-0014', '325211 – Plastics \nMaterial and Resin \nManufacturing', 'Layoff', '20', '12/18/2020', 'WARN – Layoff – \nCOVID has caused a \nreduction in sales \nRR- provided by email due \nto COVID-19']",100.0,warn-py2020-qtr-2-oct-dec-2020.pdf,1,2,9
01/08/2021,"Peco Foods, Inc. Canton (Noxubee)",MS Partnership,RR-MS 2020-0015,311615 – Poultry Processing,Closure,235,04/02/2021,WARN- Permanent closure due to scaling back and streamlining operations,,,,,,,,,,,,,"['01/08/2021', 'Peco Foods, Inc.  \nCanton (Noxubee)', 'MS \nPartnership', 'RR-MS \n2020-0015', '311615 – Poultry \nProcessing', 'Closure', '235', '04/02/2021', 'WARN- Permanent \nclosure due to scaling \nback and streamlining \noperations']",100.0,warn-py2020-qtr-3-jan-mar-2021.pdf,1,1,9
01/08/2021,"Peco Foods, Inc. Canton (Madison)",Southcentral MS Works,R R-MS- 2020-0016,424440 – Poultry and Poultry Merchant Wholesalers,Closure,434,03/26/2021,WARN- Permanent closure due to scaling back and streamlining operations,,,,,,,,,,,,,"['01/08/2021', 'Peco Foods, Inc.  \nCanton (Madison)', 'Southcentral \nMS Works', 'R\nR-MS-\n2020-0016', '424440 – Poultry \nand Poultry \nMerchant \nWholesalers', 'Closure', '434', '03/26/2021', 'WARN- Permanent \nclosure due to scaling \nback and streamlining \noperations']",100.0,warn-py2020-qtr-3-jan-mar-2021.pdf,1,1,9
01/12/2021,Scotch Plywood Company Waynesboro (Wayne),Twin Districts,R R-MS- 2020-0017,321211 – Hardwood Veneer and Plywood Manufacturing,Layoff,74,01/13/2021,WARN – Layoff due to facility being burned down,,,,,,,,,,,,,"['01/12/2021', 'Scotch Plywood \nCompany \nWaynesboro \n(Wayne)', 'Twin \nDistricts', 'R\nR-MS-\n2020-0017', '321211 – \nHardwood Veneer \nand Plywood \nManufacturing', 'Layoff', '74', '01/13/2021', 'WARN – Layoff due to \nfacility being burned \ndown']",100.0,warn-py2020-qtr-3-jan-mar-2021.pdf,1,1,9
01/19/2021,"Genlyte Thomas Group ,LLC/Signify Tupelo (Lee)",MS Partnership,R R-MS- 2020-0018,335110 - Electric Lamp Bulb and Part Manufacturing,Closure,105,04/07/2021,WARN- Permanent closure due to scaling back and streamlining operations,,,,,,,,,,,,,"['01/19/2021', 'Genlyte Thomas \nGroup ,LLC/Signify \nTupelo (Lee)', 'MS \nPartnership', 'R\nR-MS-\n2020-0018', '335110 -  Electric \nLamp Bulb and \nPart Manufacturing', 'Closure', '105', '04/07/2021', 'WARN- Permanent \nclosure due to scaling \nback and streamlining \noperations']",100.0,warn-py2020-qtr-3-jan-mar-2021.pdf,1,1,9
