employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
Co-Worx Staffing (Abbott),"Feb 03, 2023",,Non-WARN,Saco,04072,4 - Coastal Counties Local Area 4,,458,https://joblink.maine.gov/search/warn_lookups/458
Manpower (Abbott),"Feb 02, 2023",63,Non-WARN,Portland,04101,4 - Coastal Counties Local Area 4,"70 Center Street; Portland, Maine 04101",459,https://joblink.maine.gov/search/warn_lookups/459
Athena Health,"Feb 08, 2023",28,Non-WARN,Belfast,04915,4 - Coastal Counties Local Area 4,"Hatley Road; Belfast, Maine 04915",460,https://joblink.maine.gov/search/warn_lookups/460
Lavender Puff,"Feb 01, 2023",4,Non-WARN,Caribou,04736,1 - Northeastern Workforce Board,"3 Water Street; Caribou, Maine 04736",461,https://joblink.maine.gov/search/warn_lookups/461
HW Staffing (Abbott Labs),"Feb 15, 2023",,Non-WARN,Portland,04102,4 - Coastal Counties Local Area 4,,462,https://joblink.maine.gov/search/warn_lookups/462
Pat's Pizza,"Feb 24, 2023",16,Non-WARN,Presque Isle,04769,1 - Northeastern Workforce Board,"9 North Street; Presque Isle, Maine 04769",463,https://joblink.maine.gov/search/warn_lookups/463
Bon Appétit Mgmt,"May 30, 2023",10,Non-WARN,Waterville,04901,3 - Central Western Local Area 3,"4000 mayflower hill rd ; Waterville, Maine 04901",491,https://joblink.maine.gov/search/warn_lookups/491
ND Paper Old Town,"Mar 30, 2023",0,WARN,Old Town,04468,1 - Northeastern Workforce Board,"24 Portland St; Old Town, Maine 04468",465,https://joblink.maine.gov/search/warn_lookups/465
Dollar Tree,"Apr 03, 2023",6,Non-WARN,Wiscasset,04578,4 - Coastal Counties Local Area 4,"681 Bath Rd; Wiscasset, Maine 04578",466,https://joblink.maine.gov/search/warn_lookups/466
PCHC,"Apr 03, 2023",11,Non-WARN,Bangor,04401,1 - Northeastern Workforce Board,"103 Maine Avenue; Bangor, Maine 04401",467,https://joblink.maine.gov/search/warn_lookups/467
It'll Be Pizza,"Apr 03, 2023",14,Non-WARN,Scarborough,04074,4 - Coastal Counties Local Area 4,"5 Lincoln Ave; Scarborough, Maine 04074",468,https://joblink.maine.gov/search/warn_lookups/468
David's  Bridal,"Apr 14, 2023",,WARN,South Portland,04106,4 - Coastal Counties Local Area 4,,469,https://joblink.maine.gov/search/warn_lookups/469
Tall Pines Nursing Home,"Apr 18, 2023",45,Non-WARN,Belfast,04915,4 - Coastal Counties Local Area 4,"24 Martin Ln; Belfast, Maine 04915",470,https://joblink.maine.gov/search/warn_lookups/470
Puritan Medical Products,"Apr 18, 2023",55,Non-WARN,Hampden,04444,1 - Northeastern Workforce Board,"31 School St; Hampden, Maine 04444",472,https://joblink.maine.gov/search/warn_lookups/472
Bed Bath and Beyond,"Apr 23, 2023",20,Non-WARN,Bangor,04401,3 - Central Western Local Area 3,"490 Stillwater ave; Bangor, Maine 04401",473,https://joblink.maine.gov/search/warn_lookups/473
Unum,"Apr 18, 2023",0,Non-WARN,Portland,04102,4 - Coastal Counties Local Area 4,"2211 Congress St ; Portland, Maine 04102",474,https://joblink.maine.gov/search/warn_lookups/474
Tyson Foods/ Barber Foods,"Apr 18, 2023",0,Non-WARN,Portland,04102,3 - Central Western Local Area 3,"56 Milliken st ; Portland, Maine 04102",475,https://joblink.maine.gov/search/warn_lookups/475
York County Community Action Corp,"Apr 18, 2023",0,Non-WARN,Sanford,04073,4 - Coastal Counties Local Area 4,"6 spruce st ; Sanford, Maine 04073",476,https://joblink.maine.gov/search/warn_lookups/476
Bed Bath and Beyond,"Apr 24, 2023",,Non-WARN,South Portland,04106,4 - Coastal Counties Local Area 4,,477,https://joblink.maine.gov/search/warn_lookups/477
KeyBank,"May 01, 2023",4,Non-WARN,Freeport,04032,4 - Coastal Counties Local Area 4,"135 main st ; Freeport, Maine 04032",478,https://joblink.maine.gov/search/warn_lookups/478
Stonewall kitchen,"May 01, 2023",9,Non-WARN,York,03909,4 - Coastal Counties Local Area 4,"2 Stonewall Lane; York, Maine 03909",479,https://joblink.maine.gov/search/warn_lookups/479
AMS LLC/Gagne Foods,"May 08, 2023",30,Non-WARN,Bath,04530,4 - Coastal Counties Local Area 4,"25 wing farm pkwy ; Bath, Maine 04530",480,https://joblink.maine.gov/search/warn_lookups/480
KeyBank,"May 08, 2023",6,Non-WARN,Skowhegan,04976,3 - Central Western Local Area 3,"214 Madison Ave ; Skowhegan, Maine 04976",481,https://joblink.maine.gov/search/warn_lookups/481
KeyBank,"May 05, 2023",4,Non-WARN,Bath,04530,4 - Coastal Counties Local Area 4,"40 Front St. ; Bath, Maine 04530",482,https://joblink.maine.gov/search/warn_lookups/482
C & L Aviation,"Jun 02, 2023",,Non-WARN,Bangor,04401,1 - Northeastern Workforce Board,,492,https://joblink.maine.gov/search/warn_lookups/492
GVS North,"May 15, 2023",12,Non-WARN,Sanford,04073,4 - Coastal Counties Local Area 4,"63 Community Dr; Sanford, Maine 04073",484,https://joblink.maine.gov/search/warn_lookups/484
Save-a-Lot,"May 08, 2023",0,Non-WARN,Waterville,04901,3 - Central Western Local Area 3,"20 concourse e ; Waterville, Maine 04901",485,https://joblink.maine.gov/search/warn_lookups/485
Abbott Rapid Diagnostics,"May 16, 2023",199,WARN,Westbrook,04092,4 - Coastal Counties Local Area 4,"5 bradley dr ; Westbrook, Maine 04092",486,https://joblink.maine.gov/search/warn_lookups/486
Livermore Falls Baking Company,"May 23, 2023",,Non-WARN,Livermore Falls,04254,3 - Central Western Local Area 3,,487,https://joblink.maine.gov/search/warn_lookups/487
Days Inn Kittery,"May 18, 2023",0,Non-WARN,Kittery,03904,4 - Coastal Counties Local Area 4,"85 US-1 BYP; Kittery, Maine 03904",488,https://joblink.maine.gov/search/warn_lookups/488
Abbott Rapid Diagnostics,"Mar 01, 2023",219,WARN,Westbrook,04092,4 - Coastal Counties Local Area 4,"5 Bradley Rd; Westbrook, Maine 04092",489,https://joblink.maine.gov/search/warn_lookups/489
American Roots Wear,"May 22, 2023",0,Non-WARN,Westbrook,04092,4 - Coastal Counties Local Area 4,"90 bridge st ; Westbrook, Maine 04092",490,https://joblink.maine.gov/search/warn_lookups/490
G-Force Entertainment,"Jun 07, 2023",12,Non-WARN,Bangor,04401,1 - Northeastern Workforce Board,"663 Stillwater ave , Suite 1180A; Bangor, Maine 04401",493,https://joblink.maine.gov/search/warn_lookups/493
J.S. McCarthy Printing,"Jun 12, 2023",10,Non-WARN,Augusta,04330,3 - Central Western Local Area 3,"15 Darin Dr,; Augusta, Maine 04330",494,https://joblink.maine.gov/search/warn_lookups/494
Jotul North America,"Jun 06, 2023",105,Non-WARN,Gorham,04038,4 - Coastal Counties Local Area 4,"55 Hutcherson Dr; Gorham, Maine 04038",495,https://joblink.maine.gov/search/warn_lookups/495
Bitwise Industries,"Jun 14, 2023",,WARN,Fresno,93721,3 - Central Western Local Area 3,,496,https://joblink.maine.gov/search/warn_lookups/496
Yale Cordage,"Jun 22, 2023",9,Non-WARN,Saco,04072,4 - Coastal Counties Local Area 4,"77 Industrial Park Rd ; Saco, Maine 04072",497,https://joblink.maine.gov/search/warn_lookups/497
Puritan Medical Products,"Jun 28, 2023",254,WARN,Pittsfield,04967,3 - Central Western Local Area 3,"North Main Street; Pittsfield, Maine 04967",471,https://joblink.maine.gov/search/warn_lookups/471
Maine Veterinary Medical Center,"Jul 05, 2023",13,Non-WARN,Scarborough,04074,4 - Coastal Counties Local Area 4,"1500 Technology Way ; Scarborough, Maine 04074",498,https://joblink.maine.gov/search/warn_lookups/498
Courtland Rehab & Living Center,"Jul 12, 2023",,Non-WARN,Ellsworth,04605,1 - Northeastern Workforce Board,,502,https://joblink.maine.gov/search/warn_lookups/502
Mid State Machine Products,"Jul 21, 2023",7,Non-WARN,winslow,04901,3 - Central Western Local Area 3,"83 Verti Dr; winslow, Maine 04901",503,https://joblink.maine.gov/search/warn_lookups/503
Mermaid Transportation,"Jul 05, 2023",10,Non-WARN,Saco,04072,4 - Coastal Counties Local Area 4,"985 Portland Rd ; Saco, Maine 04072",504,https://joblink.maine.gov/search/warn_lookups/504
T Mobile,"Sep 07, 2023",21,Non-WARN,Oakland,04963,3 - Central Western Local Area 3,"133 First Park Dr ; Oakland, Maine 04963",518,https://joblink.maine.gov/search/warn_lookups/518
The Christmas Tree Shops,"Jul 05, 2023",38,Non-WARN,Augusta,04330,3 - Central Western Local Area 3,"42 Whitten Rd ; Augusta, Maine 04330",499,https://joblink.maine.gov/search/warn_lookups/499
The Christmas Tree Shops,"Jul 05, 2023",31,Non-WARN,Scarborough,04074,4 - Coastal Counties Local Area 4,"490 Payne Rd ; Scarborough, Maine 04074",500,https://joblink.maine.gov/search/warn_lookups/500
The Christmas Tree Shops,"Jul 05, 2023",0,Non-WARN,Bangor,04401,1 - Northeastern Workforce Board,"46 Springer Dr ; Bangor, Maine 04401",501,https://joblink.maine.gov/search/warn_lookups/501
Made In Downeast Maine,"Sep 20, 2023",2,Non-WARN,Ellsworth,04605,4 - Coastal Counties Local Area 4,"248 State Street ; Ellsworth, Maine 04605",519,https://joblink.maine.gov/search/warn_lookups/519
Subway- Hampden,"Sep 18, 2023",15,Non-WARN,Hampden,04444,1 - Northeastern Workforce Board,"7 Western Ave ; Hampden, Maine 04444",520,https://joblink.maine.gov/search/warn_lookups/520
The Portland Pheonix,"Jul 26, 2023",7,Non-WARN,Falmouth,04105,4 - Coastal Counties Local Area 4,"251 US RT 1 ; Falmouth, Maine 04105",521,https://joblink.maine.gov/search/warn_lookups/521
Yellow Corporation,"Jul 30, 2023",13,WARN,Fairfield,04937,3 - Central Western Local Area 3,"44 Sheridan Dr; Fairfield, Maine 04937",506,https://joblink.maine.gov/search/warn_lookups/506
Yellow Corporation,"Jul 30, 2023",16,WARN,Westbrook,04092,4 - Coastal Counties Local Area 4,"75 Eisenhower Dr; Westbrook, Maine 04092",505,https://joblink.maine.gov/search/warn_lookups/505
Major's Appliance Service,"Aug 21, 2023",,Non-WARN,Farmingdale,04344,3 - Central Western Local Area 3,,507,https://joblink.maine.gov/search/warn_lookups/507
Walgreens,"Aug 30, 2023",12,Non-WARN,Guilford,04443,1 - Northeastern Workforce Board,"3 Hudson Ave 147; Guilford, Maine 04443",508,https://joblink.maine.gov/search/warn_lookups/508
Biddeford Internet Corp - DBA GWI,"Aug 28, 2023",12,Non-WARN,Biddeford,04005,4 - Coastal Counties Local Area 4,"43 Landry St ; Biddeford, Maine 04005",509,https://joblink.maine.gov/search/warn_lookups/509
Windham Weaponry,"Sep 12, 2023",10,Non-WARN,Windham,04062,4 - Coastal Counties Local Area 4,"999 Roosevelt Trail Windham ; Windham, Maine 04062",522,https://joblink.maine.gov/search/warn_lookups/522
Jotul North America,"Aug 31, 2023",9,Non-WARN,Gorham,04038,4 - Coastal Counties Local Area 4,"55 Hutcherson Dr ; Gorham, Maine 04038",511,https://joblink.maine.gov/search/warn_lookups/511
Esoco Orrington LLC,"Sep 05, 2023",31,Non-WARN,Orrington,04474,1 - Northeastern Workforce Board,"29 Industrial Way ; Orrington, Maine 04474",512,https://joblink.maine.gov/search/warn_lookups/512
Dragon Cement,"Sep 06, 2023",65,WARN,Thomaston,04861,4 - Coastal Counties Local Area 4,"107 New County Rd; Thomaston, Maine 04861",513,https://joblink.maine.gov/search/warn_lookups/513
Paradigm Windows,"Sep 06, 2023",,Non-WARN,Portland,04103,4 - Coastal Counties Local Area 4,,514,https://joblink.maine.gov/search/warn_lookups/514
York Hospital,"Sep 11, 2023",3,Non-WARN,York,03909,4 - Coastal Counties Local Area 4,"LOVING KINDNESS WAY YORK; York, Maine 03909",515,https://joblink.maine.gov/search/warn_lookups/515
The Danforth,"Sep 19, 2023",15,Non-WARN,Portland,04102,4 - Coastal Counties Local Area 4,"211 Danforth St ; Portland, Maine 04102",516,https://joblink.maine.gov/search/warn_lookups/516
Cousineau INC,"Sep 26, 2023",3,Non-WARN,Wilton,04294,3 - Central Western Local Area 3,"845 US Rt 2; Wilton, Maine 04294",523,https://joblink.maine.gov/search/warn_lookups/523
Dip Net,"Sep 28, 2023",,Non-WARN,Port Clyde,04855,4 - Coastal Counties Local Area 4,,524,https://joblink.maine.gov/search/warn_lookups/524
Petite Jacqueline,"Sep 25, 2023",10,Non-WARN,Portland,04101,4 - Coastal Counties Local Area 4,"46 Market St ; Portland, Maine 04101",525,https://joblink.maine.gov/search/warn_lookups/525
Bluebird Restaurant,"Sep 14, 2023",28,Non-WARN,Machias,04654,1 - Northeastern Workforce Board,"78 Main St ; Machias, Maine 04654",526,https://joblink.maine.gov/search/warn_lookups/526
