Received Sort descending,Title,Industry,Location(s),County,Region,Type,Layoff date(s),# affected,Notes
10/10/2023,"Propak Logistics, LLC",Warehouse Logistics,Jackson,Cape Girardeau,Southeast,Closing,12/08/2023,93,
10/19/2023,CareFusion Corporation,Surgical/Medical Instrument Manufacturing,St. Louis (city),St. Louis (county),St. Louis & vicinity,Layoff,12/18/2023,148,
11/07/2023,Multi-Color Corporation,Commercial Printing,St. Louis (city),St. Louis (county),St. Louis & vicinity,Closing,12/31/2023,44,"Date is TBD, so input date was made 12-31-2023"
11/09/2023,Yelloh!,Food Service,Parkville,Platte,Kansas City & Vicinity,Closing,12/05/2023,1,
11/16/2023,Next Gen Healthcare,Healthcare,St. Louis (city),St. Louis (county),St. Louis & vicinity,Layoff,01/16/2024,84,
12/04/2023,FSC Edge,Information Technology,Kansas City,Jackson,Kansas City,Closing,12/01/2023,2,
12/04/2023,Matheson Flight Extenders,Logistics,Kansas City,Platte,Kansas City & Vicinity,Closing,01/31/2024,40,
12/05/2023,PSSI,Sanitation Services,Milan,Sullivan,Northwest,Loss of Contract,12/05/2023,68,
12/08/2023,"SPS Ventures, Inc.",Logistics / Delivery Services,Maryland Heights,St. Louis (county),St. Louis & vicinity,Layoff,02/03/2024,152,
01/10/2022,"Nestle Regional GLOBE Office North America, INC (NRGONA)",Manufacturing,St. Louis (city),St. Louis (county),St. Louis,Layoff,03/18/2022,138
01/28/2022,"Premier Glass USA, LLC",Manufacturing,Park Hills,St. Francois,Southeast,Closing,03/31/2022,243
04/01/2022,Noble Health - Callaway Community Hospital,Healthcare,Fulton,Callaway,Central,Furlough,04/01/2022,68
04/08/2022,Noble Health - Audrain Community Hospital,Healthcare,Mexico,Audrain,Central,Furlough,04/01/2022,113
05/17/2022,StarTek,Call Center,Farmington,St. Francois,Southeast,Layoff,05/29/2022,472
05/20/2022,Pretium Packaging LLC,Manufacturing,Hermann,Gasconade,Central,Closing,05/20/2022,73
06/13/2022,Amentum PAE NBC,Business Services,Lee’s Summit,Jackson,Kansas City & Vicinity,Loss of Contract,08/13/2022,537
08/23/2022,CDI Head Start,Education,Clinton,Henry,West Central,Loss of Contract,09/30/2022,66
12/28/2022 05/12/2023 rev,Allied Healthcare Products,Manufacturing,St. Louis (city),St. Louis (county),St. Louis & vicinity,Closing,02/21/2023 07/08/2023,160
12/30/2022,HMS Host - Kansas City,Food Service,Kansas City,Platte,Kansas City & Vicinity,Loss of Contract,02/27/2023,170
01/14/2021,Wyndham Vacation Ownership,Travel - Vacation Rental,Branson,Taney,Branson & vicinity,Layoff,01/08/2021,12,
01/21/2021,ABM Aviation,,St. Louis (city),,St. Louis & vicinity,Layoff,02/28/2021,85,
02/08/2021,American Airlines,Travel - Airline,St. Louis (city),St. Louis (county),,Layoff,04/01/2021,1173,
02/16/2021,Graham Packaging,Manufacturing,North Kansas City,Clay,,Layoff,06/03/2021,67,
02/23/2021,Great Circle,Residential Treatment,Webster Groves,,,Layoff,05/01/2021,117,
03/04/2021,Pomeroy,,,,,Closing,04/30/2021,16,
03/16/2021,National Express LLC DBA Durham School Services,Transportation,Wright City,Warren,,Layoff,07/14/2021,47,
03/31/2021 10/04/2021 rev,Pacific Architects and Engineers (PAE)Updated 10/4/2021,Government Services Contractor,Lee’s Summit,Warren,,Layoff,05/31/2021 11/30/2021,521,
04/16/2021,"ABM Industry Groups, LLC WARN notice 04/2021",Facilities Services/Janitorial,St. Louis (city),St. Louis (county),,Layoff,05/31/2021,100,
04/28/2021,Ascension Technologies,Healthcare IT Services,St. Louis (city),St. Louis (county),,Layoff,08/08/2021,651,
05/05/2021,Masonite Corporation,Manufacturing,Springfield,Greene,,Layoff,07/02/2021,63,
05/11/2021,Associated Couriers,Delivery Services,Hazelwood,St. Louis (county),,Layoff,07/09/2021,67,
06/03/2021,Leadec Corp.,Manufacturing Services Support,Wentzville,St. Charles,St. Charles County,Layoff,08/01/2021,146,
06/22/2021 09/14/2021 rev,Adient,Automotive Manufacturing,Riverside,Platte,,Layoff,02/05/2021,213,
06/30/2021,"Yanfeng USA Automotive Trim Systems, Inc",Automotive Manufacturing,Riverside,Platte,,Layoff,02/08/2021,427,
07/15/2021,TIMET,Metal Processing,Wentzville,St. Charles,St. Charles County,Layoff,09/14/2021,42,
07/21/2021,Nesher Pharmaceutical,Pharmaceutical Production,Maryland HeightsBridgeton,St. Louis (county),,Layoff,08/20/2021,111,
07/29/2021,Rise Baking,Bakery,Mexico,Audrain,,Layoff,09/30/2021,124,
09/15/2021,Ascension Technologies,Healthcare Information Technology Services,St. Louis (city),St. Louis (county),,Layoff,11/19/2021,18,330 remote workers (18 located in Missouri)
10/01/2021,PAE - Overland Park,Government Contractor,"Overland Park, KS",,,Layoff,11/30/2021,12,
10/04/2021,Challenge Manufacturing Company,Automotive Manufacturing,Bridgeton,St. Louis (county),,Layoff,12/01/2021,52,
11/03/2021,American Botanicals,Nature and Organic Materials Manufacturing,Eolia,Pike,,Layoff,01/05/2022,25,
01/15/2020 (updated 01/27/2020),Concentrix CVG Corporation (formerly Convergys),,Arnold,Jefferson County,Jefferson/Franklin Consortium,Closing,04/04/2020,168
02/28/2020,"FedEx Ground Package System, Inc. (Earth City)",,Earth City,St. Louis County,St. Louis County,Closing,05/02/2020,125
03/06/2020,Hy-Vee Fulfillment Center (Kansas City),,Kansas City,Jackson County,Kansas City & Vicinity,Closing,05/06/2020,583
03/16/2020,J W Aluminum Inc. (St. Louis),,St. Louis City,St. Louis City,SLATE,Closing,05/15/2020,185
03/17/2020,Major Custom Assemblies Inc.,,Hazelwood,St. Louis County,St. Louis County,Closing,03/13/2020,95
03/18/2020,"Schmidt Restaurant Group LLC d/b/a Salt + Smoke (St. Louis - 75, University City - 84 & St. Charles - 59)",,Multiple Locations,Multiple Locations,Multiple Locations,Layoff,03/23/2020,218
