Company,Date,PDF url,location,jobs
Herringbone Waikiki Restaurant,"March 18, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.18-Herringbone-Waikiki-Restaurant.pdf,,
G. Lion Hawaii,"March 23, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.03.23-G.-Lion-Hawaii_redacted.pdf,,
HMSHost Daniel K. Inouye International Airport,"March 23, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.03.23-HMSHost-Daniel-K.-Inouye-Interantional-Airport_redacted.pdf,,
HMSHost Kauai Airport,"March 23, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.03.23-HMSHost-Kauai-Airport_redacted.pdf,,
HMSHost Maui Airport,"March 23, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.03.23-HMSHost-Maui-Airport_redacted.pdf,,
Hy’s Steak House,"March 23, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.03.23-Hys-Steak-House_redacted.pdf,,
Mauna Lani,"March 23, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.23-Mauna-Lani.pdf,,
Polynesian Adventure Tours LLC,"March 24, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.24-Polynesian-Adventure-Tours-LLC.pdf,,
Hilton Waikiki Beach & MAC 24/7 Restaurant,"March 25, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.03.25-Hilton-Waikiki-Beach-MAC-24_7-Restaurant_redacted.pdf,,
Outrigger Hotels Hawaii,"March 26, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.26-Outrigger-Hotels-Hawaii.pdf,,
Alohilani Resort Waikiki Beach,"March 26, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.26-Alohilani-Resort-Waikiki-Beach.pdf,,
Ambassador Hotel Waikiki,"March 26, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.26-Ambassador-Hotel-Waikiki.pdf,,
Aston Waikiki Beach,"March 26, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.26-Aston-Waikiki-Beach.pdf,,
Courtyard by Marriot Waikiki,"March 26, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.26-Courtyard-by-Marriot-Waikiki.pdf,,
Park Shore Waikiki Beach,"March 26, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.26-Park-Shore-Waikiki-Beach.pdf,,
Four Seasons Resort Oahu,"March 27, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.27-Four-Seasons-Resort-Oahu.pdf,,
Hilton Waikiki,"March 27, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.03.27-Hilton-Waikiki_redacted.pdf,,
Queen Kapiolani Hotel Waikiki Beach,"March 27, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.27-Queen-Kapiolani-Hotel-Wakiki-Beach.pdf,,
Travaasa Hana Hotel,"March 27, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.27-Travaasa-Hana-Hotel.pdf,,
Arancino at The Kahala,"March 30, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.30-Arancino-at-The-Kahala.pdf,,
Arancino di Mare,"March 30, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.30-Arancino-di-Mare.pdf,,
California Pizza Kitchen,"March 30, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.30-California-Pizza-Kitchen.pdf,,
Islands Restaurants,"March 30, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.30-Islands-Restaurants.pdf,,
Turtle Bay Resort,"March 30, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.30-Turtle-Bay-Resort.pdf,,
Kobayashi Sugita & Goda LLP,"March 31, 2020",https://labor.hawaii.gov/wdc/files/2023/01/March-31-2020-Kobayashi-Sugita-Goda-LLP.pdf,,
Luana Hospitality Group,"March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/05/WARN-2020.03.31-Luana-Hospitality-Group_redacted.pdf,,
Meadow Gold Dairies Honolulu,"March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.31-Meadow-Gold-Dairies-Honolulu.pdf,,
Meadow Gold Dairies Kailua-Kona,"March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.31-Meadow-Gold-Dairies-Kailua-Kona.pdf,,
Meadow Gold Dairies Lihue,"March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.31-Meadow-Gold-Dairies-Lihue.pdf,,
Meadow Gold Dairies Maui,"March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.31-Meadow-Gold-Dairies-Maui.pdf,,
OneSpaWorld,"March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.31-OneSpaWorld.pdf,,
"Soleil Management Hawaii, LLC (Kihei)","March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.30-Soleil-Management-Hawaii-LLC-Kihei.pdf,,
"Soleil Management Hawaii, LLC (Lahaina)","March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.30-Soleil-Management-Hawaii-LLC-Lahaina.pdf,,
"MetaCoastal, LLC","March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/03/WARN-2020.03.31-MetaCoastal-LLC.pdf,,
Elite Parking Services LLC,"March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.03.31-Elite-Parking-Services-LLC.pdf,,
Irongate Azrep BW LLC dba Trump International Hotel Waikiki,"March 31, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.03.31-Irongate-Azrep-BW-LLC-dba-Trump-International-Hotel-Waikiki.pdf,,
TEG Hotel LLC,"April 1, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.01-TEG-Hotel-LLC.pdf,,
Y. Hata & Co. Ltd.,"April 1, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.01-Y.-Hata-Co.-Ltd.pdf,,
Grand Naniloa Resort,"April 6, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.06-Grand-Naniloa-Resort.pdf,,
JTB Hawaii Inc. ,"April 6, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.06-JTB-Hawaii-Inc.pdf,,
"*JTB Hawaii, Inc. Supplement October 30, 2020","*JTB Hawaii, Inc. Supplement October 30, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.02-JTB-Hawaii-Inc.pdf,,
Kyoya Ohana LLC,"April 6, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.06-Kyoya-Ohana-LLC.pdf,,
No Ka Oi,"April 6, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.06-No-Ka-Oi.pdf,,
The Club at Kukui’ula,"April 6, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.06-The-Club-at-Kukuiula.pdf,,
Wailea Golf LLC,"April 6, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.06-Wailea-Golf-LLC.pdf,,
Arancino Beachwalk,"April 9, 2020",https://labor.hawaii.gov/wdc/files/2023/01/April-9-2020-Arancino-Beachwalk.pdf,,
Adventist Health Castle,"April 13, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.13-Adventist-Heatlh-Castle.pdf,,
Aha Punana Leo,"April 13, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.13-Aha-Punana-Leo.pdf,,
Koa Kea Operations LLC,"April 13, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.13-Koa-Kea-Operations-LLC.pdf,,
Meadow Gold Dairies,"April 13, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.13-Meadow-Gold-Dairies.pdf,,
UFC Gym,"April 13, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.13-UFC-Gym.pdf,,
Meadow Gold Dairies Hawaii Honolulu,"April 15, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.15-Meadow-Gold-Dairies-Hawaii-Honolulu.pdf,,
Sheraton Kona Resort and Spa at Keahou Bay – Updated,"April 15, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.15-Sheraton-Kona-Resort-and-Spa-at-Keahou-Bay-Updated.pdf,,
Pleasant Holidays,"April 16, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.16-Pleasant-Holidays.pdf,,
Wyndham Vacation Ownership Inc.,"April 20, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.20-Wyndham-Vacation-Ownership-Inc.pdf,,
Adventist Health Castle,"April 27, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.27-Adventist-Health-Castle.pdf,,
Buca di Beppo,"April 27, 2020",https://labor.hawaii.gov/wdc/files/2020/04/WARN-2020.04.27-Buca-di-Beppo.pdf,,
