Company,Date,PDF url,location,jobs
Miyako Restaurant,"July 13, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.13-Miyako-Restaurant.pdf,,
Halepuna Waikiki,"July 15, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.15-Halepuna-Waikiki.pdf,,
Halekulani,"July 15, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.15-Halekulani.pdf,,
Sea Life Park,"July 16, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.16-Sea-Life-Park.pdf,,
Adventist Health Castle,"July 17, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.17-Adventist-Health-Castle.pdf,,
Big Island Candies,"July 21, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.21-Big-Island-Candies.pdf,,
Sea Life Park,"July 21, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.21-Sea-Life-Park.pdf,,
Fairmont Orchid,"July 23, 2020",https://labor.hawaii.gov/wdc/files/2023/01/July-23-2020-Fairmont-Orchid-Hawaii.pdf,,
Trump International Hotel Waikiki ,"July 23, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.23-Trump-International-Hotel-Waikiki.pdf,,
Polynesian Cultural Center,"July 24, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.24-Polynesian-Cultural-Center.pdf,,
"Fairmont Kea Lani, Maui","July 27, 2020",https://labor.hawaii.gov/wdc/files/2023/01/July-27-2020-Fairmont-Kea-Lani-Maui.pdf,,
"Green Tea Management LLC, Travasa Experential Resorts","July 28, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.28-Green-Tea-Management-LLC_Travaasa-Experential-Resorts.pdf,,
Montage Kapalua Bay,"July 28, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.28-Montage-Kapalua-Bay.pdf,,
E Noa Corporation,"July 28, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.28-E-Noa-Corporation.pdf,,
Ruth’s Chris Steak House Kauai,"July 29, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.29-Ruths-Chris-Steak-House-Kauai.pdf,,
Wyndham Vacation Ownership,"July 30, 2020",https://labor.hawaii.gov/wdc/files/2020/07/WARN-2020.07.30-Wyndham-Vacation-Ownership.pdf,,
Hilton Waikoloa Village,"August 1, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.08.01-Hilton-Waikoloa-Village.pdf,,
DFS Group LP,"August 3, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.03-DFS-Group-LP.pdf,,
"* DFS Update October 30, 2020","* DFS Update October 30, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.02-DFS-Group-L.P.-Update.pdf,,
Pride of America Shipholding LLC,"August 3, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.03-Pride-of-America-Shipholding-LLC.pdf,,
Kahala Resort,"August 3, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.03-Kahala-Resort.pdf,,
Travaasa Experiential Resorts,"August 3, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.03-Travaasa-Experiential-Resorts.pdf,,
Fairmont Kea Lani Maui,"August 3, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.03-Fairmont-Kea-Lani-Maui.pdf,,
Hawaiian Airlines,"August 3, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.03-Hawaiian-Airlines.pdf,,
"* Hawaiian Airlines Amended September 16, 2020","* Hawaiian Airlines Amended September 16, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.16-HAL-Amended.pdf,,
*Errata to Amended WARN,*Errata to Amended WARN,https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.21-HAL-Errata-to-Amended-Notice-Dated-09.18.20.pdf,,
"*Hawaiian Airlines Second Amended October 14, 2020","*Hawaiian Airlines Second Amended October 14, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.14-Hawaiian-Airlines-Second-Amended.pdf,,
Grand Wailea,"August 5, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.04-Grand-Wailea.pdf,,
Polynesian Cultural Center,"August 5, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.05-Polynesian-Cultural-Center.pdf,,
Four Seasons Oahu,"August 5, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.06-Four-Seasons-Oahu.pdf,,
Hilton Hawaiian Village,"August 5, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.06-Hilton-Hawaiian-Village.pdf,,
Kualoa Ranch,"August 10, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.10-Kualoa-Ranch-Inc.pdf,,
HMSHost Honolulu,"August 12, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.12-HMSHost-Honolulu.pdf,,
HMSHost Kauai,"August 12, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.12-HMSHost-Kauai.pdf,,
HMSHost Maui,"August 12, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.12-HMSHost-Maui.pdf,,
Wyndham Vacation Ownership,"August 17, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.08.17-Wyndham-Vacation-Ownership-07.30.20-redacted.pdf,,
Hawaiian Airlines,"August 19, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.19-Hawaiian-Airlines.pdf,,
Kaiser Permanente,"August 19, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.19-Kaiser-Permanente.pdf,,
Double Tree Alana Waikiki Beach Hotel,"August 20, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.20-Double-Tree-Alana-Waikiki-Beach-Hotel.pdf,,
Four Seasons Resort Hualalai,"August 24, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.24-Four-Seasons-Resort-Hualalai.pdf,,
Four Seasons Resort Maui at Wailea,"August 24, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.24-Four-Seasons-Resort-Maui-at-Wailea.pdf,,
Honolulu Cookie Co.,"August 24, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.24-Honolulu-Cookie-Co.pdf,,
Hyatt Regency Waikiki,"August 24, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.24-Hyatt-Regency-Waikiki.pdf,,
Koloa Landing Resort,"August 25, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.17-Koloa-Landing-Resort-Kauai.pdf,,
Sheraton Kauai Coconut Beach Resort,"August 27, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.27-Sheraton-Kauai-Coconut-Beach-Resort.pdf,,
Four Seasons Resort Lanai,"August 31, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.31-Four-Seasons-Resort-Lanai-redacted.pdf,,
Hakkasan Group,"August 31, 2020",https://labor.hawaii.gov/wdc/files/2020/08/WARN-2020.08.31-Hakkasan-Group.pdf,,
Aqua-Aston Hospitality LLC; Aston Kaanapali Shores,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-ASTKAAN-AAH-STATE-MAYOR-Notice2.pdf,,
"Hotel Management Services, LLC; Ilikai Hotel & Luxury Suites","September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-ILIKAI-HotelMGMT-State-Dislocated-Worker-Unit-Letter.pdf,,
HV Global Management Corporation; Kaanapali Beach Resort,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-KAANBEACH-HVMGMT-STATE-MAYOR-Notice0.pdf,,
HV Global Marketing Corporation; Kaanapali Beach Resort,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-KAANBEACH-HVMKTG-STATE-MAYOR-Notice0.pdf,,
"Marriott Ownership Resorts, Inc.; Kauai Lagoons","September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-KAUAILAG-MORI-STATE-MAYOR-Notice2.pdf,,
Marriott Resorts Hospitality Corporation; Kauai Lagoons,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-KAUAILAG-MRHC-STATE-MAYOR-Notice2.pdf,,
"Marriott Ownership Resorts, Inc.; Koolina Beach Club","September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-KOOLINA-MORI-STATE-MAYOR-Notice2.pdf,,
Marriott Resorts Hospitality Corporation; Koolina Beach Club,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-KOOLINA-MRHC-STATE-MAYOR-Notice2.pdf,,
"Marriott Ownership Resorts, Inc.; Maui Ocean Club","September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-MAUIOC-MORI-STATE-MAYOR-Notice2.pdf,,
Marriott Resorts Hospitality Corporation; Maui Ocean Club,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-MAUIOC-MRHC-STATE-MAYOR-Notice2.pdf,,
"Marriott Ownership Resorts, Inc.; Waikoloa Ocean Club","September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WAIKOLOAOc-MORI-STATE-MAYOR-Notice2.pdf,,
Marriott Resorts Hospitality Corporation; Waikoloa Ocean Club,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WAIKOLOAOc-MRHC-STATE-MAYOR-Notice2.pdf,,
Marriott Resorts Hospitality Corporation; Waiohai Beach Club,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WAIOHAIBeach-MRHC-STATE-MAYOR-Notice.pdf,,
"Marriott Ownership Resorts, Inc.; Westin Kaanapali Ocean Resort","September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WESKAANAOCEAN-MORI-STATE-MAYOR-Notice.pdf,,
VSE Pacific Inc.; Westin Kaanapali Ocean Resort,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WESKAANAOCEAN-VSEPACIFIC-STATE-MAYOR-Notice.pdf,,
"FOH Hospitality, LLC; Westin Kaanapali Ocean Resort","September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WESKAANOCEAN-FOH-STATE-MAYOR-Notice.pdf,,
"FOH Hospitality, LLC; Westin Nanea Ocean Resort & Villas","September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WESNANEAOC-FOH-STATE-MAYOR-Notice.pdf,,
"Marriott Ownership Resorts, Inc.; Westin Nanea Ocean Resort & Villas","September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WESNANEAOC-MORI-STATE-MAYOR-Notice.pdf,,
VSE Pacific Inc.; Westin Nanea Ocean Resort & Villas,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WESNANEAOC-VSEPACIFIC-STATE-MAYOR-Notice.pdf,,
"FOH Hospitality, LLC; Westin Princeville Ocean Resort","September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WESPRINCEVILLE-FOH-STATE-MAYOR-Notice.pdf,,
VSE Pacific Inc.; Westin Princeville Ocean Resort,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-HI-WESPRINCEVILLE-VSEPACIFIC-STATE-MAYOR-Notice2.pdf,,
Prince Resorts Hawaii,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-Prince-Resorts-Hawaii.pdf,,
Royal Kona Resort,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-Royal-Kona-Resort.pdf,,
Turtle Bay,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-Turtle-Bay.pdf,,
Mauna Kea Resort,"September 3, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.03-Mauna-Kea-Resort.pdf,,
Travaasa Hana Resort,"September 4, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.04-Travaasa-Hana-Resort-Furloughs.pdf,,
Montage Kapalua Bay,"September 5, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.05-Montage-Kapalua-Bay.pdf,,
Royal Lahaina Resort,"September 5, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.05-Royal-Lahaina-Resort.pdf,,
Avis Budget Car Rental LLC,"September 8, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.08-Avis-Budget-Car-Rental-LLC.pdf,,
Ilikai Hotel Extension of Temp. Closure,"September 8, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.08-Ilikai-Hotel-Extension-of-Temp.-Closure.pdf,,
Pearl Country Club,"September 9, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.09-Pearl-Country-Club.pdf,,
Holiday Inn Express,"September 10, 2020",https://labor.hawaii.gov/wdc/files/2023/01/September-10-2020-Holiday-Inn-Express.pdf,,
Kauai Shores Hotel,"September 11, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.11-Kauai-Shores-Hotel.pdf,,
Dave & Buster’s,"September 15, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.15-Dave-Busters.pdf,,
Kaimana Beach Hotel,"September 17, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.17-Kaimana-Beach-Hotel.pdf,,
Fleetwood’s on Front Street,"September 18, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.18-Fleetwoods-on-Front-Street.pdf,,
Neiman Marcus Group,"September 21, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.21-Neiman-Marcus-Group.pdf,,
Outrigger,"September 21, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.21-Outrigger.pdf,,
United Laundry Services LLC,"September 21, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.21-WARN-United-Laundry-Services-LLC-rescanned.pdf,,
Diamond Resorts Kaanapali Beach Club,"September 24, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.24-Diamond-Resorts-Kaanapali-Beach-Club.pdf,,
Diamond Resorts Point at Poipu,"September 24, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.24-Diamond-Resorts-Point-at-Poipu.pdf,,
Diamond Resorts The Modern,"September 24, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.24-Diamond-Resorts-The-Modern.pdf,,
Kaanapali Beach Hotel,"September 24, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.24-Kaanapali-Beach-Hotel.pdf,,
Paradise Cove Luau,"September 24, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.24-Paradise-Cove-Luau.pdf,,
HV Global Marketing Corp. Kaanapali Beach Resort,"September 25, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.25-HV-Global-Marketing-Corp.-Kaanapali-Beach-Resort.pdf,,
Marriott Kauai Lagoons,"September 25, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.25-Marriott-Kauai-Lagoons.pdf,,
Marriott Koolina Beach Club,"September 25, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.25-Marriott-Koolina-Beach-Club.pdf,,
Marriott Maui Ocean Club,"September 25, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.25-Marriott-Maui-Ocean-Club.pdf,,
VSE Pacific Inc. Westin Kaanapali Ocean Resort,"September 25, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.25-VSE-Pacific-Inc.-Westin-Kaanapali-Ocean-Resort.pdf,,
VSE Pacific Inc. Westin Princeville Ocean Resort,"September 25, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.25-VSE-Pacific-Inc.-Westin-Princeville-Ocean-Resort.pdf,,
Fairmont Orchid,"September 28, 2020",https://labor.hawaii.gov/wdc/files/2023/01/September-28-2020-Fairmont-Orchid-Hawaii.pdf,,
Kukuiula South Shore,"September 29, 2020",https://labor.hawaii.gov/wdc/files/2020/09/WARN-2020.09.28-Notice-Kukuiula-South-Shore.pdf,,
Stripsteak,"September 30, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.09.30-Stripsteak.pdf,,
The Street Honolulu,"September 30, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.09.30-The-Street-Honolulu.pdf,,
Fairmont Orchid,"October 1, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.01-Fairmont-Orchid.pdf,,
Hyatt Regency Waikiki,"October 6, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.06-Hyatt-Regency-Waikiki.pdf,,
Montage Kapalua Bay,"October 6, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.06-Montage-Kapalua-Bay.pdf,,
Ruth’s Chris Steakhouse,"October 14, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.14-Ruths-Chris-Steakhouse.pdf,,
Wyndham Vacation Ownership,"October 14, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.14-Wyndham-Vacation-Ownership.pdf,,
YMCA of Honolulu,"October 14, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.14-YMCA-of-Honolulu.pdf,,
American Machinery,"October 19, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.19-American-Machinery.pdf,,
"*American Machinery Update October 21, 2020","*American Machinery Update October 21, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.22-American-Machinery.pdf,,
Hilton Hotel Employer HI LLC,"October 19, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.19-Hilton-Hotel-Employer-HI-LLC-Hilton-Hawaiian-Village.pdf,,
Outrigger Hospitality Group,"October 23, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.23-Outrigger-Hospitality-Group.pdf,,
Yard House,"October 29, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.29-Yard-House.pdf,,
Ala Moana Hotel,"October 29, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.29-Ala-Moana-Hotel.pdf,,
90210 Grand Wailea LLC,"October 30, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.30-90210-Grand-Wailea-LLC.pdf,,
Castle Medical Center dba Adventist Health,"October 30, 2020",https://labor.hawaii.gov/wdc/files/2020/10/WARN-2020.10.30-Castle-Medical-Center-dba-Adventist-Health.pdf,,
"Fairmont Kea Lani, Maui","November 1, 2020",https://labor.hawaii.gov/wdc/files/2023/01/November-1-2020-Fairmont-Kea-Lani-Maui.pdf,,
Kaiser Foundation Hospitals & Kaiser Foundation Health Plan Inc. ,"November 2, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.02-Kaiser-Foundation-Hospitals-Kaiser-Foundation-Health-Plan-Inc.pdf,,
Paradise Cove Luau,"November 9, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.09-Paradise-Cove-Luau.pdf,,
Don Quijote (USA) Co. Ltd.,"November 16, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.16-Don-Quijote-USA-Co.-Ltd.pdf,,
Marukai Hawaii Co. Ltd.,"November 16, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.16-Marukai-Hawaii-Co.-Ltd.pdf,,
Sodexo,"November 16, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.16-Sodexo.pdf,,
"QSI, Inc. (Times Supermarket)","November 19, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.19-QSI-Inc.-Times-Supermarket.pdf,,
Kea Lani LLC – The Fairmont Kea Lani ,"November 20, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.20-Kea-Lani-LLC-The-Fairmont-Kea-Lani.pdf,,
Westin Kaanapali Ocean Resort,"November 27, 2020",https://labor.hawaii.gov/wdc/files/2020/11/WARN-2020.11.27-Westin-Kaanapali-Ocean-Resort.pdf,,
Hawaii HIS Corporation,"December 2, 2020",https://labor.hawaii.gov/wdc/files/2020/12/WARN-2020.12.02-Hawaii-HIS-Corp.pdf,,
Montage Kapalua Bay,"December 3, 2020",https://labor.hawaii.gov/wdc/files/2020/12/WARN-2020.12.03-Montage-Kapalua-Bay.pdf,,
Southwest Airlines Co.,"December 3, 2020",https://labor.hawaii.gov/wdc/files/2020/12/WARN-2020.12.03-Southwest-Airlines-Co.pdf,,
Empire Airlines,"December 7, 2020",https://labor.hawaii.gov/wdc/files/2020/12/WARN-2020.12.07-Empire-Airlines.pdf,,
Hyatt Corporation Grand Hyatt Kauai Resort & Spa,"December 18, 2020",https://labor.hawaii.gov/wdc/files/2020/12/WARN-2020.12.18-Hyatt-Corporation-Grand-Hyatt-Kauai-Resort-Spa.pdf,,
Principle Hotels LLC Waikiki San Villa ,"December 30, 2020",https://labor.hawaii.gov/wdc/files/2020/12/WARN-2020.12.30-Principle-Hotels-LLC-Waikiki-San-Villa.pdf,,
Kauai Marriott Resort Beach Club,"December 31, 2020",https://labor.hawaii.gov/wdc/files/2020/12/WARN-2020.12.31-Kauai-Marriott-Resort-Beach-Club.pdf,,
* Correction to Marriott Resort Hospitality Corporation,* Correction to Marriott Resort Hospitality Corporation,https://labor.hawaii.gov/wdc/files/2020/09/09.14.2020-Marriott-Resort-Hospitality-Corporation.pdf,,
** Correction to FOH Hospitality Inc.,** Correction to FOH Hospitality Inc.,https://labor.hawaii.gov/wdc/files/2020/09/09.14.2020-FOH-Hospitality-Inc.pdf,,
*** Correction to HV Global Management Corporation,*** Correction to HV Global Management Corporation,https://labor.hawaii.gov/wdc/files/2020/09/09.14.2020-HV-Global-Management-Corporation.pdf,,
Pagoda Floating Restaurant,"January 5, 2021",https://labor.hawaii.gov/wdc/files/2021/01/WARN-2021.01.05-Pagoda-Floating-Restaurant-temporary-hibernation-letter.pdf,,
"Mauna Lani, Auberge Resorts Collection","January 14, 2021",https://labor.hawaii.gov/wdc/files/2021/01/WARN-2021.01.14-Mauna-Lani-Auberge-Resorts-Collection.pdf,,
Hawaiian Airlines,"January 28, 2021",https://labor.hawaii.gov/wdc/files/2023/03/January-28-2021-Hawaiian-Airlines_Redacted.pdf,,
Hawaii HIS Corporation,"February 2, 2021",https://labor.hawaii.gov/wdc/files/2021/02/WARN-2021.02.02-HAWAII-HIS-CORPORATION.pdf,,
"JTB Hawaii, Inc.","February 2, 2021",https://labor.hawaii.gov/wdc/files/2021/02/WARN-2021.02.02-JTB-HAWAII-INC.pdf,,
Hawaiian Airlines,"February 2, 2021",https://labor.hawaii.gov/wdc/files/2021/02/WARN-2021.02.02-HAWAIIAN-AIR.pdf,,
*Hawaiian Airlines Amendment,*Hawaiian Airlines Amendment,https://labor.hawaii.gov/wdc/files/2021/02/WARN-2021.02.02-HAWAIIAN-AIR-AMENDMENT.pdf,,
*Hawaiian Airlines Amendment,*Hawaiian Airlines Amendment,https://labor.hawaii.gov/wdc/files/2021/03/WARN-2021.03.18-Hawaiian-Airlines-Amended.pdf,,
Montage Kapalua Bay,"February 2, 2021",https://labor.hawaii.gov/wdc/files/2021/02/WARN-2021.02.02-MONTAGE-KAPALUA-BAY.pdf,,
Transform SR LLC,"February 2, 2021",https://labor.hawaii.gov/wdc/files/2021/02/WARN-2021.02.02-Transform-SR-LLC.pdf,,
Fairmont Orchid,"February 8, 2021",https://labor.hawaii.gov/wdc/files/2021/02/WARN-2021.02.08-Fairmont-Orchid.pdf,,
Transform SR LLC,"February 8, 2021",https://labor.hawaii.gov/wdc/files/2021/02/WARN-2021.02.08-TransformCo-Sears.pdf,,
Alohilani Resort,"February 8, 2021",https://labor.hawaii.gov/wdc/files/2021/02/WARN-2021.02.08-Alohilani-Resort.pdf,,
*Alohilani Resort Amendment,*Alohilani Resort Amendment,https://labor.hawaii.gov/wdc/files/2021/04/20210428-WARN-Alohilani-Resort-Waikiki-Beach.pdf,,
Love’s Bakery,"March 1, 2021",https://labor.hawaii.gov/wdc/files/2021/03/WARN-2021.03.01-Loves-Bakery.pdf,,
Kaiser Foundation Hospitals,"March 3, 2021",https://labor.hawaii.gov/wdc/files/2021/03/WARN-2021.03.03-Kaiser-Foundation-Hospitals.pdf,,
Alohilani Resort Waikiki Beach,"April 28, 2021",https://labor.hawaii.gov/wdc/files/2023/03/April-28-2021-Alohilani-Resort-Waikiki-Beach_Redacted.pdf,,
Sheraton Kona Resort & Spa at Keauhou Bay,"June 25, 2021",https://labor.hawaii.gov/wdc/files/2023/03/June-28-2021-Sheraton-Kona-Resort-Spa-at-Keauhou-Bay_Redacted.pdf,,
Charter Communications,"June 28, 2021",https://labor.hawaii.gov/wdc/files/2023/03/June-28-2021-Charter-Communications_Redacted.pdf,,
University Health Partners of Hawaii,"July 8, 2021",https://labor.hawaii.gov/wdc/files/2023/03/July-8-2021-University-Health-Partners-of-Hawaii_Redacted.pdf,,
Life Cycle Engineering,"July 28, 2021",https://labor.hawaii.gov/wdc/files/2023/03/July-28-2021-LCE-Life-Cycle-Engineering_Redacted.pdf,,
"United Airlines, Inc.","July 30, 2021",https://labor.hawaii.gov/wdc/files/2023/01/July-30-2021-United-Airlines-Inc..pdf,,
"Flying Food Group, LLC","August 5, 2021",https://labor.hawaii.gov/wdc/files/2021/08/Flying-Food-Group.pdf,,
"*Flying Food Group, LLC Amended 10/12/2021","*Flying Food Group, LLC Amended 10/12/2021",https://labor.hawaii.gov/wdc/files/2022/03/10.12.2021-Flying-Food-Group.pdf,,
"Anheuser-Busch Sales of Hawaii, Inc letter","August 30, 2021 Anheuser-Busch Sales of Hawaii, Inc letter",https://labor.hawaii.gov/wdc/files/2021/08/TEMPLATE_Notice-to-Employees.pdf,,
United Airlines,"September 1, 2021 United Airlines",https://labor.hawaii.gov/wdc/files/2021/09/20210901-United.pdf,,
"He-Man Landscaping, LLC","September 10. 2021 He-Man Landscaping, LLC",https://labor.hawaii.gov/wdc/files/2021/09/He-Man-Landscaping-LLC-DWA-Notification-September-10-2021.pdf,,
Urgent Care Hawaii,"September 30, 2021 Urgent Care Hawaii",https://labor.hawaii.gov/wdc/files/2021/09/20210930-WARN-Urgent-Care-Hawaii-LLC.pdf,,
"Flying Food Group, LLC","October 5, 2021",https://labor.hawaii.gov/wdc/files/2023/01/October-5-2021-Flying-Food-Group-LLC.pdf,,
Royal Lahaina Resort,"October 6, 2021 Royal Lahaina Resort",https://labor.hawaii.gov/wdc/files/2021/10/Royal-Lahaina-Resort-RR-10062021.pdf,,
"Kirby Offshore Marine Hawaii, LLC","October 8, 2021 Kirby Offshore Marine Hawaii, LLC",https://labor.hawaii.gov/wdc/files/2021/10/20211008-WARN-Kirby-Offshore-Marine-Hawaii-LLC.pdf,,
