action,address,city,company,county,date_close,date_start,extras,includes,jobs,link,reason,titles
Facility closure,,"Walker, Michigan","CNC Logistics, Inc.",Kent,,"August 27, 2025",Closure 2025 Kent,,75,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-09-17_WARN-Notice_CNC-Logistics.pdf?rev=24eae73d20ce4f56b81409e4cda6c53c,,
Temporary layoff,,"Detroit, Michigan",Spirit Airlines,Wayne,,"December 1, 2025",Layoff 2025 Wayne,,103,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-09-22_WARN-Notice_Spirit-DTW.pdf?rev=f9ed817d49c44bc69e15c312911016c7,,
Layoff,,"Bloomfield Hills, Michigan",Premier Care LLC,Oakland,,"November 1, 2025",Layoff 2025 Oakland,,94,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-09-04_WARN-Notice_Premier-Care-LLC.pdf?rev=74e42cd443e8423c8dd84559f2640dad,,
Facility closure,,"Muskegon, Michigan",Cole's Quality Foods,Muskegon,,"November 9, 2025",Closure 2025 Muskegon,,175,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-09-10_WARN-Notice_Coles-Quality-Foods.pdf?rev=45467f7a41c34486bf6dd801b719c765,,
Closure,,"Holland, Michigan","Natron Energy, Inc.",Ottawa (maybe Allegan as it falls into both),,"September 3, 2025",Closure 2025 Ottawa,,37,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-08-29_WARN-Notice_Natron-Energy-Inc.pdf?rev=a121ffef068c43f9b7fcbd8a32086306,,
Layoff,,"Farmington Hills, Michigan",Akebono Brake Corporation,Oakland,,"October 1, 2025",Layoff 2025 Oakland,,48,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-24_WARN-Notice_Akebono.pdf?rev=d4d8d86278924f5e9ac63017aebbb619,,
Closure,,"Warren, Michigan",DP World Contract Logistics US Inc.,Macomb,,"October 5, 2025",Closure 2025 Macomb,,70,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-08-05_WARN-Notice_DP-World-Contract-Logistics.pdf?rev=39fd21eee3cc4f999db28e6e5dca0b57,,
Company closure,,"Grand Haven, Michigan","NPR of America, Inc.",Ottawa,,"October 12, 2025",Closure 2025 Ottawa,,64,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-08-12_WARN-Notice_NPR-of-America.pdf?rev=3be4acc4e997461ca4fd7648689e122a,,
Layoff,,"New Baltimore, Michigan","Davalor Mold Company, LLC",Macomb,,"October 3, 2025",Layoff 2025 Macomb,,45,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-08-08_WARN-Notice_Davalor-Mold-Co.pdf?rev=fafa7c2df39c472f8a925a2b35215a41,,
Layoff,,"Port Huron, Michigan; Marie City, Michigan; Casco, Michigan; Yale, Michigan","Community Development Institute Head Start/CDI HS Serving St. Clair County, MI",St. Clair,,"September 30, 2025",Layoff 2025 St Clair,,60,https://www.michigan.gov/leo/-/media/Project/Websites/leo/Documents/WD-DATA_PUBLIC_WARN_NOTICES4/2025/2025-07-30_WARN-Notice_CDI-HS.pdf?rev=157e0839f2a349eba19e482a48b1f758,,
