Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
North Shore Healthcare,Shawano,44,7/27/2020,CL,10/25/2020,Nursing Care Facilities (Skilled Nursing),Shawano,Bay Area
Air Wisconsin Airlines,"Milwaukee, Appleton",361,7/29/2020,WR,10/01/2020,Scheduled Passenger Air Trans,"Milwaukee, Outagamie","Milwaukee, Bay Area"
Renaissance Manufacturing Group,Waukesha,120,6/1/2020,CL,07/31/2020,Iron Foundries,Waukesha,WOW
Union Cab of Madison Cooperative,Madison,126,6/1/2020,WR,03/22/2020,Taxi Service,Dane,South Central
Humane Manufacturing LLC,Baraboo,21,6/1/2020,CL,07/31/2020,Resilient Floor Covering Mfg.,Sauk,South Central
PMI Entertainment Group Inc.,Green Bay,31,6/4/2020,WR,07/01/2020,Promoters With Facilities,Brown,Bay Area
Astec Industries Inc and Telsmith Inc,Mequon,135,6/8/2020,CL,08/14/2020,Construction Machinery Mfg,Ozaukee,WOW
Verso Corporation,Wisconsin Rapids,902,6/10/2020,CL,07/31/2020,Paper exc Newsprint Mills,Wood,North Central
Nova Wildcat Shur-Line LLC,St. Francis,93,6/12/2020,CL,08/14/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Nova Wildcat Shur-Line LLC - Revision 1,St. Francis,93,7/20/2020,LS,09/18/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Nova Wildcat Shur-Line LLC - Revision 2,St. Francis,78,8/31/2020,CL,09/04/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Nova Wildcat Shur-Line LLC - Revision 3,St. Francis,57,9/21/2020,"AW, LS",10/16/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Nova Wildcat Shur-Line LLC - Revision 4,St. Francis,57,10/5/2020,LS,10/23/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Nova Wildcat Shur-Line LLC - Revision 5,St. Francis,57,11/2/2020,LS,10/23/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Nova Wildcat Shur-Line LLC - Revision 6,St. Francis,32,11/30/2020,"LS, AW",12/04/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Nova Wildcat Shur-Line LLC - Revision 7,St. Francis,32,12/21/2020,LS,12/04/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Nova Wildcat Shur-Line LLC - Revision 8,St. Francis,14,2/1/2021,"LS, AW",2/12/2021,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Nova Wildcat Shur-Line LLC - Revision 9,St. Francis,4,3/4/2021,"LS, AW",3/3/2021,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
